C0003811	cardiac arrhythmia
C0553706	serum phosphate increased
C0006353	buffers
C0267975	nutritional deficiency, nec
C0392519	calcium deficiency
C0028709	nutrition disorders
C0858092	plasma calcium abnormal
C0013798	electrocardiogram
C0572339	magnesium sulfate overdose
C2062724	poisoning by magnesium
C0553704	potassium, increased level
C0039621	tetany
C0595934	calcium depletion
C0016453	food additives
C0002063	alkalosis
C0020626	hypoparathyroidism
C0024523	malabsorption syndrome
C0270224	tetany, neonatal
C0042870	vitamin d deficiency
C0012814	colonic diverticulitis
C0022104	irritable bowel syndrome
C0242301	furuncle
C0010380	croup
C1149108	angiotensin type ii receptor activity
C0003250	monoclonal antibodies
C0003862	arthralgia
C0003864	arthritis
C0004604	back pain
C0234238	ache
C0080194	muscle strain
C0231528	myalgia
C0027796	neuralgia
C0038045	sprain
C0043144	wheezing
C3179240	oxytocic effect
C0558369	failed abortion
C0239561	fetal expulsion
C0015944	fetal membranes, premature rupture
C0233097	abortion in second trimester
C2113892	number of weeks pregnant based on date of last menstrual period
C3264090	13 weeks gestation of pregnancy
C3264098	20 weeks gestation of pregnancy
C0032797	postpartum hemorrhage
C0233308	spontaneous rupture of membranes
C0205269	unresponsive to treatment
C0042135	uterine inertia
C0598196	microbial disease
C0451641	urolithiasis
C2930750	pharmaceutical vehicles
C1154743	response to xenobiotic stimulus
C0232051	cough reflex
C0235063	respiratory depression
C0917801	sleeplessness
C0085631	agitation
C0877046	infection of tooth
C0007302	cartilage diseases
C0029408	degenerative polyarthritis
C0011849	diabetes mellitus
C0268093	chromium deficiency
C0687148	mineral deficiency
C0342924	trace element deficiency
C0019693	hiv infections
C2673444	hypocitraturia
C1833683	nephrolithiasis, calcium oxalate
C0403719	uric acid urolithiasis
C0425511	sputum finding
C0022650	kidney calculi
C0042075	urologic diseases
C0333026	calcium oxalate calculus
C0042018	urinary calculi
C0033860	psoriasis
C1704277	shampoo dosage form
C2064827	topical steroids
C0036508	seborrheic dermatitis
C0032024	pityriasis
C0013595	eczema
C1527304	allergic reaction
C1153433	calcium channel activity
C0021212	indicators
C1152934	surfactant activity
C3178735	emetic effect
C0268070	hypocupremia
C0235454	adrenal cortical dysfunction
C0010481	cushing syndrome
C0405580	adrenal cortical hypofunction
C0001403	addison disease
C0001623	adrenal gland hypofunction
C0014130	endocrine system diseases
C0020517	hypersensitivity
C0021053	immune system diseases
C1148774	androgen receptor activity
C3179264	progestin effect
C1149475	hormone activity
C1149593	thrombin activity
C0004238	atrial fibrillation
C0038454	cerebrovascular accident
C0013922	embolism
C0262660	vascular embolism
C1998415	disorder of hip joint
C0442893	systemic disease
C0857496	thromboembolic event
C1861172	venous thromboembolism
C0589110	postoperative deep vein thrombosis
C0079773	lymphoma, t-cell, cutaneous
C1148778	mineralocorticoid receptor activity
C0854636	adrenocortical steroid therapy
C1622203	corticosteroid receptor signaling pathway
C0009766	allergic conjunctivitis
C0863090	allergic skin reaction
C0002792	anaphylaxis
C0002994	angioedema
C0571758	blood derivative allergy
C0018621	hay fever
C0339165	perennial allergic conjunctivitis
C0035460	rhinitis, vasomotor
C0343065	symptomatic dermographism
C0042109	urticaria
C0549313	bronchial irritation
C0009443	common cold
C0302338	lung irritant
C0700184	throat irritation
C0002438	amebiasis
C0042373	vascular diseases
C0000768	congenital abnormality
C0015927	fetal death
C0565613	maternal labor/delivery problem nos
C0812470	incomplete abortion unspecified
C0011740	detergents
C0033627	protein denaturation
C3179198	narcotic effect
C2258685	angiotensin converting enzyme activity
C0015330	explosive device
C0042401	vasodilation
C0002962	angina pectoris
C1371463	coronary arterial vasodilation [pe]
C0751495	seizures, focal
C0241616	atrophy of vagina
C0156393	atrophy of vulva
C0236075	menopausal symptom
C1299393	moderate to severe
C0750152	vasomotor symptom
C0020619	hypogonadism
C0239302	estrogen low
C0877035	estrogen effect
C0877373	advanced cancer
C0271578	female hypogonadism syndrome
C0006142	malignant neoplasm of breast
C0600139	prostate carcinoma
C0030231	palliative care
C1458155	mammary neoplasms
C0600142	hot flushes
C0025322	premature menopause
C0025323	menorrhagia
C0085215	ovarian failure, premature
C0033578	prostatic neoplasms
C0678896	endocrine function
C0702166	acne
C1148776	estrogen receptor activity
C0032961	pregnancy
C0014175	endometriosis
C0035528	riboflavin deficiency
C0221244	seborrheic dermatitis of scalp
C2733384	chronic uveitis
C0011389	dental plaque
C0011432	dentin sensitivity
C0747479	periodontal infection
C0017574	gingivitis
C0241457	tooth sensitivity to cold
C0241462	tooth sensitivity to heat
C0031090	periodontal diseases
C0024117	chronic obstructive airway disease
C1371299	bronchodilation [pe]
C0011615	dermatitis, atopic
C0231918	nose symptoms
C0035455	rhinitis
C0149783	steroid therapy
C0035258	restless legs syndrome
C1306762	aorto-iliac disease
C0085096	peripheral vascular diseases
C1707501	contrast-enhanced magnetic resonance imaging
C0027868	neuromuscular diseases
C2917293	neuromuscular nondepolarizing blockade [pe]
C0020437	hypercalcemia
C0024305	lymphoma, non-hodgkin
C0596236	calcium metabolism
C0023467	leukemia, myelocytic, acute
C0882846	cell positive for cd33 antigen
C1533699	gemtuzumab ozogamicin
C1142169	acute myeloid leukaemia recurrent
C0154246	urea cycle disorders, inborn
C0342923	phosphate deficiency
C0037763	spasm
C0041582	ulcer
C1148664	muscarinic acetylcholine receptor activity
C0017127	gastric emptying
C0030920	peptic ulcer
C0238634	anal inflammation
C1394254	cryptitis
C0015230	exanthema
C0019112	hemorrhoids
C2937222	chronic ulcerative proctitis
C0033246	proctitis
C0033775	pruritus ani
C0033777	pruritus of genital organs
C0033778	pruritus vulvae
C0400827	radiation proctitis
C2919828	chronic ulcerative colitis
C0687707	anorectal disorder
C0079731	b-cell lymphomas
C0024301	lymphoma, follicular
C0079747	low grade lymphoma (neoplasm)
C0020557	hypertriglyceridemia
C0022602	actinic keratosis
C0862889	superficial basal cell carcinoma
C0011847	diabetes
C0011854	diabetes mellitus, insulin-dependent
C0011860	diabetes mellitus, non-insulin-dependent
C0935929	antidiabetics
C0860160	diabetes mellitus inadequate control
C0342299	poor glycemic control
C2748055	hypoinsulinaemia
C0304870	insulin, long-acting
C0356365	insulin, short-acting
C1441129	radioactive iodine
C0020550	hyperthyroidism
C0445204	preoperative
C0040156	thyrotoxicosis
C0006434	burn injury
C0023223	leg ulcer
C0034530	radiation injury
C0038034	sporotrichosis
C0038160	staphylococcal infections
C0038941	surgical wound infection
C0043246	laceration
C0043253	nonpenetrating wounds
C0342927	dietary iodine deficiency
C0042131	uterine diseases
C1522577	follow-up
C1156284	regulation of ph
C0180108	magnetic resonance imaging contrast media
C0002884	hypochromic anemia
C0162119	hemoglobin low
C0240066	iron deficiency
C0162316	iron deficiency anemia
C0311375	arsenic poisoning
C0002895	anemia, sickle cell
C1158468	nitric oxide metabolic process
C1956346	coronary artery disease
C0027051	myocardial infarction
C1151647	aldehyde dehydrogenase (nad+) activity
C0013384	dyskinetic syndrome
C0030567	parkinson disease
C0338831	manic
C0005586	bipolar disorder
C0339164	seasonal allergic conjunctivitis
C0037088	signs and symptoms
C0024473	magnesium deficiency
C0740464	electrolytes nos decreased
C0025517	metabolic diseases
C1372027	digestive alteration
C0546165	absorbent drug
C1705215	lubricant excipient
C0022876	premature obstetric labor
C0013537	eclampsia
C0036572	seizures
C0156672	severe pre-eclampsia, antepartum condition or complication
C0234233	sore to touch
C0268733	acute nephritis
C2826244	life threatening
C0156677	eclampsia in pregnancy
C0151723	hypomagnesemia
C0032914	pre-eclampsia
C0866323	severe toxemia
C1406908	tetany; uterine contractions
C0027697	nephritis
C0040479	torsades de pointes
C0042510	ventricular fibrillation
C1149472	growth factor activity
C0730350	abnormal uterine bleeding, unspecified
C3263685	hormone abnormality
C0014173	endometrial hyperplasia
C0205187	inoperable
C0813148	metastatic endometrial carcinoma
C1378703	renal carcinoma
C0232940	secondary physiologic amenorrhea
C1262153	injectable contraception
C0001175	acquired immunodeficiency syndrome
C0003123	anorexia
C1828173	unexplained weight loss
C0678222	breast carcinoma
C0006625	cachexia
C0476089	endometrial carcinoma
C2939420	metastatic neoplasm
C0232462	decrease in appetite
C1333303	aids-related disorder
C1321908	desire for urination
C0009953	convulsive therapy
C0039614	tetanus
C0004153	atherosclerosis
C0002073	alkylating agents
C0023434	chronic lymphocytic leukemia
C0023473	myeloid leukemia, chronic
C0026948	mycosis fungoides
C0919267	ovarian neoplasm
C0032463	polycythemia vera
C0836924	thrombocytosis
C2257188	inosine monophosphate dehydrogenase activity
C0340530	cardiac transplant rejection
C0400968	liver transplant rejection
C0238217	renal transplant rejection
C0815080	organ rejection
C0018133	graft-vs-host disease
C0472713	anemia of renal disease
C0086899	red cell mass result
C1565489	renal insufficiency
C0311364	anemia due to decreased red cell production
C0272375	antithrombin iii deficiency
C0878787	growth failure
C0019243	angioedemas, hereditary
C0919890	hyperfibrinogenemia
C0002893	refractory anemias
C0041408	turner syndrome
C3179300	androgen effect
C0022108	irritants
C0035644	riots
C0872355	nicotine craving
C0085134	cessation of smoking
C0087169	withdrawal symptoms
C0037369	smoking
C0015919	fertilizers
C1721090	explosive agents
C0155789	bleeding esophageal varices
C0525069	pharmaceutical solutions
C0036429	sclerosis
C0014849	esophageal and gastric varices
C0007384	cataplexy
C0694563	excessive daytime somnolence
C0027404	narcolepsy
C0037278	skin diseases, infectious
C0242383	age related macular degeneration
C0162627	skin diseases, bacterial
C0282002	superficial infection
C1299392	mild to moderate
C0849370	blemishes
C0542346	pimples
C0001144	acne vulgaris
C0035854	rosacea
C0151736	accidental injury
C0038363	aphthous stomatitis
C1704330	dental diseases
C0026644	mouth, edentulous
C0332673	minor injury
C0877508	irritation gum
C0235339	mouth irritation
C0024636	malocclusion
C1579838	sore mouth
C0030011	oxidation
C0040434	tooth discoloration
C0260662	hearing problem
C0079153	hyperkeratosis, epidermolytic
C0151740	intracranial hypertension
C0031099	periodontitis
C0038362	stomatitis
C1302752	abrasion
C0000925	incised wound
C0085682	hypophosphatemia
C0022107	irritable mood
C0032166	plasticizers
C0016184	fixatives
C0021568	insect bites and stings
C0009373	colonic diseases
C0006264	bronchial neoplasms
C0014859	esophageal neoplasms
C0151595	digitalis intoxication
C0849796	ear congestion
C0032827	potassium deficiency
C0005741	blepharitis
C0006435	chemical burns
C0009763	conjunctivitis
C0010543	cyclitis
C0013604	edema
C0239429	eye inflammation
C0016542	foreign bodies
C1275687	herpes zoster keratitis
C0497209	infective conjunctivitis
C0339289	injury of cornea
C0022081	iritis
C0022568	keratitis
C0259799	punctate keratitis
C0036416	scleritis
C0701836	thermal burn
C0027424	nasal congestion (finding)
C0810300	upper gastrointestinal disorders
C0041227	trypanosomiasis
C1151531	l-ascorbate peroxidase activity
C0597252	plant development
C0302302	closed comedone
C0333128	open comedone
C0043037	common wart
C0010046	corn of toe
C0157726	corns and callus
C0870082	hyperkeratosis
C0020757	ichthyoses
C1706307	irritation (finding)
C0263383	keratosis pilaris
C1401611	keratosis; palmaris and plantaris
C0237849	peeling of skin
C0032027	pityriasis rubra pilaris
C1856954	plantar hyperkeratosis
C0042548	plantar wart
C0240941	pruritus of scalp
C0332575	redness
C0406326	scalp psoriasis
C0376154	skin callus
C1848403	thickened palms and soles
C0036271	scalp dermatoses
C0015967	fever
C0009938	contusions
C0026821	muscle cramp
C0035436	rheumatic fever
C0278138	mild pain
C0278139	moderate pain
C0083013	insect attractants
C0497280	sprain/strain of joint nos
C3179195	mydriatic effect
C0847631	dry scalp
C0040262	tinea versicolor
C0040250	tinea capitis
C0001655	corticotropin
C0009361	colloids
C0017243	gel
C2936382	hygroscopic agents
C0854358	purulence
C1707796	dispersing excipient
C0564567	impulsive character (finding)
C0085423	gram-negative bacterial infections
C0085426	gram-positive bacterial infections
C0018188	granuloma
C0029076	ophthalmia neonatorum
C0020625	hyponatremia
C1522726	intravenous route of drug administration
C0429653	dialysis finding
C0011175	dehydration
C0007165	cardiac output
C0022408	arthropathy
C0235395	fluid loss
C0013125	intravenous administration
C0022100	irrigation
C0746759	nasal drainage
C0231919	nasal mucosa dry
C0593776	pharmaceutical solvent
C0161734	effects of low temperature
C0037383	sneezing
C1567664	warm ischemia
C0010037	corneal edema
C0013238	dry eye syndromes
C0036982	shock, hemorrhagic
C0043251	wounds and injuries
C0274847	toxic effect of caustic substance
C0016204	flatulence
C0877225	bone density decreased
C0332687	second degree burn
C0433445	third degree burn
C1141927	wound sepsis
C0041618	ultrasonography
C1151570	arachidonate 5-lipoxygenase activity
C0034606	radionuclide imaging
C1149149	somatostatin receptor activity
C0027651	neoplasms
C0182638	radiopharmaceuticals
C0267792	diseases of the liver and biliary system
C0263661	disorder of skeletal system
C0018799	heart diseases
C0005940	bone diseases
C2363741	hiv-1 infection
C0010417	cryptorchidism
C1371648	decreased gnrh secretion
C0271623	hypogonadotropic hypogonadism
C0549611	hypothalmic/pituitary
C0442857	hypothalamic injury
C0342384	idiopathic hypogonadotropic hypogonadism
C1319065	castrated male
C0029191	orchitis
C0948896	primary hypogonadism
C0151721	testicular hypogonadism
C0266427	testicular regression syndrome
C1963961	testosterone deficiency
C2057574	torsion of both testes
C0034065	pulmonary embolism
C0149871	deep vein thrombosis
C0037271	skin aging
C1456711	sun exposure
C0038814	sunburn
C0005479	biomaterials
C0274576	poisoning by fluorouracil
C0751651	mitochondrial diseases
C0242339	dyslipidemias
C0221263	cafe-au-lait spots
C0037286	skin neoplasms
C0151785	disease of mucous membrane
C0019202	hepatolenticular degeneration
C0281980	injury of integument
C0600688	toxic effect
C0037299	skin ulcer
C0770327	zinc-eugenol cement
C0235950	zinc deficiency
C0580491	serum zinc level low
C0555971	oral infection
C0863093	cold symptoms
C0700148	congestion
C0242429	sore throat
C0406175	chafing of skin
C0011974	diaper rash
C0860437	poison oak rash
C0231341	premature aging syndrome
C0037301	skin wrinkling
C0850866	solar skin damage
C0332804	superficial wound
C0042344	varicose ulcer
C1830752	wetness
C0015393	eye abnormalities
C0003072	anion exchange resins
C0022014	ion exchange resins
C0740692	oncology problem
C1527402	narcotic dependence
C1328356	positive cardiac inotropic effect
C0018801	heart failure
C0023281	leishmaniasis
C0417747	bite of sandfly
C0280100	solid tumor
C0236100	female reproductive system disorder
C0012359	pathological dilatation
C0042345	varicosity
C0154251	lipid metabolism disorders
C1314973	response to antigens
C0020502	hyperparathyroidism
C0028077	night blindness
C0035579	rickets
C0037285	skin manifestations
C0042842	vitamin a deficiency
C0043349	xerophthalmia
C0010054	coronary arteriosclerosis
C0038317	steroids
C0015544	failure to thrive
C0033626	protein deficiency
C0154091	carcinoma in situ of bladder
C0476073	papillary neoplasm
C0521158	recurrent tumor
C0005695	bladder neoplasm
C0041296	tuberculosis
C0031000	perfume
C2613221	mitochondrial atp synthesis coupled electron transport
C0037083	signal transduction
C0948645	kidney graft dysfunction
C0018802	congestive heart failure
C0020179	huntington disease
C1149595	complement activity
C0021359	infertility
C3179504	incretin effect
C0019163	hepatitis b
C0678210	passive immunity, function
C0740903	allergic symptom
C0238614	exposure to allergen
C0020523	immediate hypersensitivity
C1154613	sweet taste perception
C0848464	clogged ear
C0151908	dry skin
C0015264	exertion
C0015672	fatigue
C2109270	keep water out of ears
C0301616	overexertion
C0015734	fecal impaction
C0392503	impaction of intestine
C0021843	intestinal obstruction
C0266805	disorder of lower gastrointestinal tract
C1168325	postprandial emesis
C1636159	emollient cathartic
C0852112	neonatal hypoxic conditions
C0521648	neonatal respiratory failure
C0021289	infant, newborn
C1258036	vascular endothelium-dependent relaxation
C0035220	respiratory distress syndrome, newborn
C0001957	alcohol withdrawal delirium
C0021308	infarction
C0035222	respiratory distress syndrome, adult
C0232849	bladder pain
C0282488	interstitial cystitis
C0234215	sensory discomfort
C0043167	pertussis
C0032064	plague
C3163616	blood loss
C0546884	hypovolemia
C0149757	plasma protein abnormality
C0428489	plasma proteins low
C0005850	blood volume
C0314719	dryness of eye
C1260871	acetonemia
C0085624	burning sensation
C0235266	eye irritation
C0022638	ketosis
C1318469	lubrication procedure
C0175717	surgical jelly
C0333565	fibrin deposition
C0016017	fibrinolysis
C0041466	typhoid fever
C0031762	photosensitivity disorders
C0085677	alcoholic neuropathy
C0002892	anemia, pernicious
C0011882	diabetic neuropathies
C0026769	multiple sclerosis
C0042847	vitamin b 12 deficiency
C0002395	alzheimer's disease
C0086543	cataract
C0027765	nervous system disorder
C0033046	premenstrual syndrome
C0002878	anemia, hemolytic
C0006287	bronchopulmonary dysplasia
C0013386	dyskinesia, drug-induced
C0042875	vitamin e deficiency
C0681579	vitamin supplement
C0000771	abnormalities, drug-induced
C0020640	inherited factor ii deficiency
C0021295	infant, premature, diseases
C0043395	yellow fever
C0042485	venous insufficiency
C0028911	ointment bases
C2260369	phosphatidylinositol kinase activity
C0023343	leprosy
C0013343	dyes
C0162638	apoptosis
C0034525	effects of radiation
C0238452	thallium poisoning
C0472781	drug-induced methemoglobinemia
C0010520	cyanosis
C0019348	herpes simplex infections
C0023869	lithiasis
C0025637	methemoglobinemia
C0238080	toxic effect of cyanide
C0010406	cryoprotective agents
C0011923	diagnostic imaging
C0151583	cerebrospinal fluid abnormality
C0360048	diagnostic radioisotope
C0206754	neuroendocrine tumors
C2728338	metastatic secondary neuroendocrine tumor
C1512628	imaging agent
C2919051	ischemic myocardium
C0878544	cardiomyopathies
C0232786	pancreatic function
C0573830	folic acid overdose
C0376358	malignant neoplasm of prostate
C1152775	gonadotropin-releasing hormone receptor activity
C0553662	arthritis, juvenile rheumatoid
C0242656	disease progression
C0409667	juvenile chronic polyarthritis
C0516981	physical function
C0161816	cardiac complication
C0010068	coronary heart disease
C0022116	ischemia
C0002965	angina, unstable
C0151744	myocardial ischemia
C0040053	thrombosis
C1149084	steroid 17-alpha-hydroxylase-c17-20 lyase activity
C0949445	cervical dystonia
C0948887	glabellar frown lines
C0001973	alcoholic intoxication, chronic
C0085762	alcohol abuse
C1150039	alpha-amylase activity
C2260873	alpha-glucoside hydrolase activity
C0013218	combination drug therapy
C1150054	glucosidase activity
C1150055	alpha-glucosidase activity
C0877014	sympathomimetic effect
C0151636	premature ventricular contractions
C0042514	tachycardia, ventricular
C3179192	miotic effect
C3179243	parasympathomimetic effect
C2257306	nad(p)h-quinone oxidoreductase activity
C0040038	thromboembolism
C0452213	phenothiazine antipsychotics and neuroleptics causing adverse effects in therapeutic use
C0033975	psychotic disorders
C0234101	dopaminergic synaptic transmission
C1152730	dopamine receptor activity
C0851578	sleep disorders
C1999226	arthritis pain
C0013390	dysmenorrhea
C0281856	generalized aches and pains
C0018681	headache
C0021400	influenza
C1698508	premenstrual cramps
C0040460	toothache
C0000970	acetaminophen
C1150946	carbonate dehydratase activity
C0014553	absence epilepsy
C0154946	acute angle-closure glaucoma
C0238284	acute mountain sickness
C0270822	centrencephalic epilepsy
C0234708	raised intraocular pressure
C0339573	glaucoma, primary open angle
C0149893	secondary glaucoma
C0017612	glaucoma, open-angle
C0002351	altitude sickness
C0017601	glaucoma
C1836537	adult onset
C0011253	delusions
C1855263	disorganized thinking
C0558072	false perception
C0018524	hallucinations
C0233632	disturbance in thinking
C0036341	schizophrenia
C0679466	cognitive deficits
C0572025	acetaminophen overdose
C0542098	nasal mucus increased
C0002726	amyloidosis
C0006267	bronchiectasis
C0006277	bronchitis
C0010674	cystic fibrosis
C0022672	kidney tubular necrosis, acute
C0032285	pneumonia
C0032787	postoperative complications
C0034067	pulmonary emphysema
C0008049	chickenpox
C0019342	genital herpes
C0019360	herpes zoster disease
C0001829	agriculture
C1151764	protoporphyrinogen oxidase activity
C0035457	rhinitis, allergic, perennial
C0019345	herpes labialis
C0853848	infection in an immunocompromised host
C1739133	mucocutaneous herpes simplex
C1274321	recurrent herpes simplex labialis
C0162526	aids-related opportunistic infections
C0010823	cytomegalovirus infections
C0276226	herpes encephalitis
C0149678	epstein-barr virus infections
C0019364	herpes zoster ophthalmicus
C1158580	nucleoside metabolic process
C0038013	ankylosing spondylitis
C0003872	arthritis, psoriatic
C0010346	crohn disease
C0005525	biological response modifiers
C0860444	acne papular
C0221228	comedo
C0263443	pustular acne
C0241885	exercise intolerance
C0030590	paroxysmal supraventricular tachycardia
C0205360	stable status
C0039240	supraventricular tachycardia
C0039232	tachycardia, atrioventricular nodal reentry
