DB13961	fish oils
DB13674	10-carboxymethyl-9-acridanone
DB12385	10-hydroxycamptothecin
DB01450	18,19-dihydroetorphine
DB04581	1-benzylimidazole
DB11924	1-deoxysphinganine
DB11898	2,4-thiazolidinedione
DB04638	2,5-di-tert-butylhydroquinone
DB13963	2-dichlorobenzene
DB02249	2-ethoxyethanol
DB03514	2-methoxy-4-vinylphenol
DB02342	2-methoxyestradiol
DB07726	2-tert-butylhydroquinone
DB11875	3,3'-diindolylmethane
DB11640	3,4-diaminopyridine
DB04459	3,4-dichloroisocoumarin
DB01123	3,6-diaminoacridine
DB03073	3-methoxybenzamide
DB01571	3-methylfentanyl
DB12749	3-n-butylphthalide
DB13455	4-amino-3-phenylbutyric acid
DB04066	4-coumaric acid
DB13549	4-dimethylaminophenol
DB01440	4-hydroxybutyric acid
DB02601	4-hydroxyphenylglycine
DB01472	4-methoxyamphetamine
DB03385	4-methylimidazole
DB06595	4'-n-benzoylstaurosporine
DB02632	4-nitrophenylgalactoside
DB06819	4-phenylbutyric acid
DB14141	4-phenylenediamine
DB01931	5,7-dichlorokynurenic acid
DB07437	5-benzylacyclouridine
DB03516	5-ethynyluracil
DB00322	5-fluoro-2'-deoxyuridine
DB01629	5-fluorouridine
DB13776	5-iodo-2'-deoxycytidine
DB04604	5-iodotubercidin
DB12216	5-methoxypsoralen
DB02282	5'-methylthioadenosine
DB08168	7-amino-4-methylcoumarin
DB01933	7-hydroxystaurosporine
DB02207	7-nitroindazole
DB13367	8-chlorocarbochromen
DB14132	8-chlorotheophylline
DB02502	8-hydroxy-2'-deoxyguanosine
DB12515	9-aminocamptothecin
DB06159	9-nitrocamptothecin
DB08794	ethyl biscoumacetate
DB15394	gamma-tocopherol
DB13860	imidazole-2-hydroxybenzoate
DB12881	indole-3-carbinol
DB03305	n(g)-iminoethylornithine
DB06633	n-chlorotaurine
DB12521	n-methylpyrrolidone
DB11919	o(6)-benzylguanine
DB15086	octyl 2-cyanoacrylate
DB06700	o-desmethylvenlafaxine
DB02430	trehalose-6-phosphate
DB11238	borage oil
DB11113	castor oil
DB11086	cocoa butter
DB11114	eucalyptus oil
DB13446	guar gum
DB09567	olive oil
DB11198	peppermint oil
DB11097	plantago seed
DB11293	rice bran oil
DB09446	safflower oil
DB11172	sesame oil
DB09422	soybean oil
DB11218	tea tree oil
DB14276	turmeric extract
DB09498	strontium-89 chloride
DB11182	rose bengal sodium i 125
DB13046	8-chloro-cyclic adenosine monophosphate
DB00718	adefovir dipivoxil
DB03147	flavin adenine dinucleotide
DB03148	adenosine 5'-methylenediphosphate
DB02930	adenosine 5'-o-(3-thiotriphosphate)
DB00131	adenosine monophosphate
DB00171	adenosine triphosphate
DB02596	alpha,beta-methyleneadenosine 5'-triphosphate
DB13871	albendazole sulfoxide
DB09087	alum, potassium
DB06723	aluminium hydroxide
DB14518	aluminum acetate
DB11081	aluminum chloride
DB01375	aluminum monostearate
DB11208	aluminum chlorohydrex propylene glycol
DB11342	aluminum oxide
DB14517	aluminum phosphate
DB11108	aluminum sesquichlorohydrate
DB15679	aluminum subacetate
DB11239	aluminum sulfate
DB11200	aluminum zirconium octachlorohydrex gly
DB11147	aluminum zirconium pentachlorohydrate
DB11277	aluminum zirconium pentachlorohydrex gly
DB11149	aluminum zirconium tetrachlorohydrex gly
DB11116	aluminum zirconium trichlorohydrex gly
DB13626	dihydroxyaluminum aminoacetate
DB01605	amdinocillin pivoxil
DB00992	methyl 5-aminolevulinate
DB06767	ammonium chloride
DB06768	ammonium lactate
DB05288	anecortave acetate
DB13517	angiotensin amide
DB15587	antimony potassium tartrate
DB05630	antimony sodium gluconate
DB13732	meglumine antimoniate
DB08892	arbaclofen placarbil
DB13207	arginine glutamate
DB01169	arsenic trioxide
DB14482	sodium ascorbate
DB00732	atracurium besylate
DB08822	azilsartan kamedoxomil
DB11150	barium sulfate
DB00394	beclomethasone dipropionate
DB00676	benzyl benzoate
DB00895	benzylpenicilloyl polylysine
DB13462	bephenium compounds
DB01494	chloral betaine
DB11350	cocamidopropyl betaine
DB11098	potassium bicarbonate
DB01390	sodium bicarbonate
DB12277	polyhexamethylene biguanide
DB11281	bismuth subcarbonate
DB09275	bismuth subcitrate potassium
DB13909	bismuth subgallate
DB13209	bismuth subnitrate
DB01294	bismuth subsalicylate
DB14639	boldenone undecylenate
DB14505	sodium borate
DB08870	brentuximab vedotin
DB11865	brivanib alaninate
DB12870	buthionine sulfoximine
DB03568	butyrate
DB00258	calcium acetate
DB14483	calcium ascorbate
DB06724	calcium carbonate
DB10516	calcium caseinate
DB01164	calcium chloride
DB11093	calcium citrate
DB00326	calcium gluceptate
DB11126	calcium gluconate
DB11264	calcium glycerophosphate
DB13231	calcium lactate
DB13800	calcium levulinate
DB14684	calcium polycarbophil
DB13829	calcium silicate
DB15533	calcium sulfate
DB11211	calcium sulfide
DB15678	calcium undecylenate
DB00796	candesartan cilexetil
DB11131	capsicum oleoresin
DB09319	carbenicillin indanyl
DB13977	potassium carbonate
DB09460	sodium carbonate
DB00429	carboprost tromethamine
DB14725	cefamandole nafate
DB06590	ceftaroline fosamil
DB14733	ceftobiprole medocaril
DB02806	methyl cellosolve
DB06776	cellulose sodium phosphate
DB13570	cellulose, oxidized
DB14158	microcrystalline cellulose
DB01563	chloral hydrate
DB14658	chloramphenicol palmitate
DB07565	chloramphenicol succinate
DB12453	chlorine dioxide
DB14656	chlorphenesin carbamate
DB01114	chlorpheniramine polistirex
DB09301	chondroitin sulfates
DB11255	chromium picolinate
DB09129	chromic chloride
DB00369	cidofovir anhydrous
DB09125	potassium citrate
DB09154	sodium citrate
DB00766	clavulanic acids
DB04920	clevidipine butyrate
DB01013	clobetasol propionate
DB14652	clocortolone acetate
DB11082	coal tar
DB14206	cobalt dichloride
DB00318	codeine polistirex
DB09114	colfosceril palmitate
DB11246	copper gluconate
DB06778	copper sulfate
DB09131	cupric chloride
DB11134	cupric oxide
DB09067	corticorelin ovine triflutate
DB14545	cortisol succinate
DB01380	cortisone acetate
DB04839	cyproterone acetate
DB06695	dabigatran etexilate
DB00004	denileukin diftitox
DB06780	desoxycorticosterone acetate
DB14649	dexamethasone acetate
DB11487	dexamethasone isonicotinate
DB09555	dexchlorpheniramine maleate
DB00514	dextromethorphan polistirex
DB14638	diloxanide furoate
DB01160	dinoprost tromethamine
DB01248	docetaxel anhydrous
DB00815	sodium dodecyl sulfate
DB04147	dodecyldimethylamine oxide
DB14655	dromostanolone propionate
DB04688	ecgonine methyl ester
DB09477	enalaprilat dihydrate
DB12116	epigallocatechin gallate
DB01613	erythrityl tetranitrate
DB09119	eslicarbazepine acetate
DB13953	estradiol 3-benzoate
DB13952	estradiol acetate
DB13954	estradiol cypionate
DB13956	estradiol valerate
DB00977	ethinyl estradiol
DB00823	ethynodiol diacetate
DB05659	faropenem medoxomil
DB03247	flavin mononucleotide
DB00591	fluocinolone acetonide
DB13058	methanesulfonyl fluoride
DB09325	sodium fluoride
DB09484	sodium monofluorophosphate
DB11092	stannous fluoride
DB14634	fluprednidene acetate
DB14938	flurbiprofen axetil
DB08906	fluticasone furoate
DB00588	fluticasone propionate
DB08908	dimethyl fumarate
DB08872	gabapentin enacarbil
DB06705	gadofosveset trisodium
DB09132	gadolinium 1,4,7,10-tetraazacyclododecane-n,n',n'',n'''-tetraacetate
DB00789	gadolinium dtpa
DB00483	gallamine triethiodide
DB12450	propyl gallate
DB05260	gallium nitrate
DB11242	gelatin sponge, absorbable
DB00056	gemtuzumab ozogamicin
DB14677	gestonorone caproate
DB08909	glycerol phenylbutyrate
DB09561	sodium glycerophosphate
DB11250	glyceryl monostearate
DB09276	gold sodium thiomalate
DB13743	gold sodium thiosulfate
DB13735	potassium guaiacolsulfonate
DB08960	hexamethonium compounds
DB02414	histidyl-proline diketopiperazine
DB00725	homatropine methylbromide
DB00956	hydrocodone polistirex
DB14539	hydrocortisone acetate
DB14540	hydrocortisone butyrate
DB14543	hydrocortisone probutate
DB14544	hydrocortisone valerate
DB00078	ibritumomab tiuxetan
DB08887	icosapent ethyl
DB05013	ingenol mebutate
DB13156	inosine pranobex
DB09564	insulin degludec
DB01307	insulin detemir
DB00047	insulin glargine
DB00046	insulin lispro
DB14865	dab(486)-interleukin 2
DB09537	iodine povacrylex
DB06715	potassium iodide
DB11119	sodium iodide
DB00965	ethiodized oil
DB09501	ferric ammonium citrate
DB08917	ferric carboxymaltose
DB15536	ferric chloride
DB14488	ferric gluconate
DB11576	ferric oxide
DB13885	ferric subsulfate solution
DB11171	ferric sulfate
DB14491	ferrous fumarate
DB11209	iron protein succinylate
DB09517	sodium ferric gluconate complex
DB12765	methyl isocyanate
DB14640	isoflupredone acetate
DB00883	isosorbide dinitrate
DB01020	isosorbide mononitrate
DB12695	phenethyl isothiocyanate
DB11112	lanolin derivatives
DB06792	lanthanum carbonate
DB13313	levodopa methyl ester
DB14509	lithium carbonate
DB14507	lithium citrate
DB14506	lithium hydroxide
DB01545	ethyl loflazepate
DB14596	loteprednol etabonate
DB04829	lysergic acid diethylamide
DB11230	magnesium aluminum silicate
DB09481	magnesium carbonate
DB09407	magnesium chloride
DB11110	magnesium citrate
DB13749	magnesium gluconate
DB09104	magnesium hydroxide
DB01377	magnesium oxide
DB13249	magnesium silicate
DB14077	magnesium stearate
DB00653	magnesium sulfate
DB09281	magnesium trisilicate
DB06215	magnetite nanoparticles
DB13218	mandelic acids
DB11141	manganese gluconate
DB14751	mecasermin rinfabate
DB00603	medroxyprogesterone acetate
DB00351	megestrol acetate
DB14659	melengestrol acetate
DB13765	mercuric chloride
DB00816	metaproterenol polistirex
DB14643	methylprednisolone aceponate
DB14644	methylprednisolone hemisuccinate
DB00416	metocurine iodide
DB11128	ammonium molybdate
DB14512	mometasone furoate
DB05296	motexafin lutetium
DB02240	quinacrine mustard
DB00791	uracil mustard
DB00688	mycophenolate mofetil
DB03991	2-deoxy-2,3-dehydro-n-acetylneuraminic acid
DB08804	nandrolone decanoate
DB00984	nandrolone phenpropionate
DB06682	naproxen-n-butyl nitrate
DB08949	inositol niacinate
DB14180	nickel sulfate
DB00184	nicotine polacrilex
DB13388	phenylmercuric nitrate
DB11090	potassium nitrate
DB13255	propatyl nitrate
DB01612	amyl nitrite
DB13981	nomegestrol acetate
DB14678	norethindrone enanthate
DB06689	ethanolamine oleate
DB09072	sodium oxybate
DB14627	oxyphenisatin acetate
DB11145	potassium oxyquinoline sulfate
DB13809	paclitaxel poliglumex
DB14657	paramethasone acetate
DB04895	pegaptanib sodium
DB06154	pentaerythritol tetranitrate
DB13831	potassium permanganate
DB09096	benzoyl peroxide
DB11129	carbamide peroxide
DB11091	hydrogen peroxide
DB00397	phenylpropanolamine polistirex
DB09413	potassium phosphate
DB09414	potassium phosphate, dibasic
DB14502	sodium phosphate, dibasic
DB11348	calcium phosphate
DB13862	magnesium phosphate
DB13716	dibutyl phthalate
DB13336	dimethyl phthalate
DB09369	polyestradiol phosphate
DB09287	polyethylene glycol 3350
DB01344	polystyrene sulfonate
DB00707	porfimer sodium
DB14498	potassium acetate
DB11107	potassium bitartrate
DB00761	potassium chloride
DB13620	potassium gluconate
DB11153	potassium hydroxide
DB14499	potassium sulfate
DB05478	pradefovir mesylate
DB15566	prednisolone acetate
DB14633	prednisolone hemisuccinate
DB14631	prednisolone phosphate
DB14632	prednisolone tebutate
DB00837	progabide acid
DB00852	pseudoephedrine polistirex
DB00114	pyridoxal phosphate
DB11327	pyrithione disulfide
DB14679	quingestanol acetate
DB15480	resorcinol monoacetate
DB08806	roxatidine acetate
DB03819	salicylhydroxamic acid
DB00936	salicylic acid
DB14026	thiosalicylic acid
DB11079	trolamine salicylate
DB14006	choline salicylate
DB12681	farnesylthiosalicylic acid
DB01397	magnesium salicylate
DB09543	methyl salicylate
DB11071	phenyl salicylate
DB05273	samarium ethylenediaminetetramethylenephosphonate
DB00747	scopolamine hydrobromide
DB00971	selenium sulfide
DB11127	selenious acid
DB09334	seractide acetate
DB11132	silica gel
DB15668	disilver oxide
DB14521	silver cation
DB11080	silver nitrate
DB09395	sodium acetate
DB14015	sodium bisulfite
DB14516	sodium cation
DB09153	sodium chloride
DB11151	sodium hydroxide
DB09472	sodium sulfate
DB12223	squaric acid dibutyl ester
DB00746	hydroxyethyl starch-deferoxamine conjugate
DB02010	staurosporine aglycone
DB09267	strontium ranelate
DB01901	sucrose octasulfate
DB05245	silver sulfadiazine
DB14033	sulfisoxazole acetyl
DB11104	sulfur hexafluoride
DB06246	sulindac sulfone
DB00113	technetium tc 99m arcitumomab
DB11628	technetium tc 99m depreotide
DB09164	technetium tc 99m disofenin
DB09163	technetium tc 99m exametazime
DB09139	technetium tc 99m hydroxymethylene diphosphonate
DB09137	technetium tc 99m mebrofenin
DB09138	technetium tc 99m medronate
DB09165	technetium tc 99m pyrophosphate
DB09161	technetium tc 99m sestamibi
DB09397	technetium tc 99m sulfur colloid
DB00300	tenofovir disoproxil
DB13163	terpin hydrate
DB13943	testosterone cypionate
DB13944	testosterone enanthate
DB01420	testosterone propionate
DB13946	testosterone undecanoate
DB01987	thiamine pyrophosphate
DB04912	tin mesoporphyrin
DB11056	stannous chloride
DB06822	tinzaparin sodium
DB09536	titanium dioxide
DB14660	trenbolone acetate
DB13958	trestolone acetate
DB14636	triciribine phosphate
DB09144	uridine triacetate
DB05737	varespladib methyl
DB09321	zinc (as zinc oxide)
DB14487	zinc acetate
DB14494	zinc carbonate
DB14533	zinc chloride
DB11248	zinc gluconate
DB09322	zinc sulfate
DB14654	bisoxatin acetate
DB14730	calaspargase pegol
DB13612	carbaspirin calcium
DB01432	cholestyramine resin
DB05442	etiprednol dicloacetate
DB12089	lorvotuzumab mertansine
DB01433	methadyl acetate
DB05428	motexafin gadolinium
DB11816	omecamtiv mecarbil
DB00686	pentosan sulfuric polyester
DB12935	remogliflozin etabonate
DB11668	rusalatide acetate
DB05253	telapristone acetate
DB09534	terephthalylidene dicamphor sulfonic acid
DB00464	sodium tetradecyl sulfate
DB12719	turofexorate isopropyl
DB14086	(+)-catechin
DB03822	ethyl dihydrogen phosphate
DB13427	gold colloid, radioactive
DB11321	cod liver oil
DB15481	fish liver oil
DB10535	karaya gum
DB11087	pyrethrum extract
DB11253	xanthan gum
DB00999	hydrochlorothiazide
DB00741	hydrocortisone
DB01700	aica ribonucleotide
DB09393	amino acids
DB11166	antithrombin proteins
DB06161	bactericidal permeability increasing protein
DB12768	bcg vaccine
DB06770	benzyl alcohol
DB09157	carbon dioxide
DB11588	carbon monoxide
DB09494	cetyl alcohol
DB14184	cinnamic aldehyde
DB09270	coenzyme q10
DB09228	complement c1 inhibitor protein
DB00066	follicle stimulating hormone
DB15217	gastric inhibitory polypeptide
DB12862	glucose oxidase
DB05276	hepatitis b immune globulin
DB10345	house dust
DB09344	invert sugar
DB02325	isopropyl alcohol
DB14492	lugol's solution
DB11057	mineral oil
DB04145	nicotinyl alcohol
DB00435	nitric oxide
DB06690	nitrous oxide
DB12822	pancreatic polypeptide
DB15289	perilla alcohol
DB15274	pertussis vaccine
DB02192	phenylethyl alcohol
DB15461	plague vaccine
DB13968	plasma protein fraction
DB11060	polyvinyl alcohol
DB01839	propylene glycol
DB11312	protein c
DB00005	tnfr-fc fusion protein
DB14022	typhoid vaccine
DB13690	vinyl ether
DB00162	vitamin a
DB00115	vitamin b 12
DB11094	vitamin d
DB00163	vitamin e
DB01022	vitamin k
DB10805	yellow fever vaccine
DB14256	gotu kola
DB11223	tolu balsam
DB00165	vitamin b6
DB01570	f 7302
DB06444	hu 211
DB12601	px-866
DB04953	d 23129
DB02255	gm 6001
DB06809	jm 3100
DB03451	kh 1060
DB06594	s 20098
DB06163	zd 9331
DB02132	fr 74366
DB04934	krm 1648
DB09211	ono 1206
DB04867	sr 27897
DB05259	(t,g)-a-l
DB13435	bq 22-708
DB13777	cgp 78608
DB12436	gr 205171
DB12538	men 11420
DB08209	methyl red
DB03459	nsc 224131
DB13950	win 55212-2
DB12027	jnj 26854165
DB06783	prussian blue
DB13259	ethyl chloride
DB09241	methylene blue
DB11960	carboxyamido-triazole
DB01093	dimethyl sulfoxide
DB11089	dioctyl sulfosuccinic acid
DB03967	dodecyl sulfate
DB09149	florbetapir f 18
DB01109	heparin-sepharose
DB09425	indium in 111 pentetate
DB11835	indium in 111 pentetreotide
DB05683	iodofiltic acid i 123
DB03895	malachite green
DB14078	methylene diphosphonate
DB13967	patent blue violet
DB09350	piperonyl butoxide
DB14231	quinoline yellow
DB09400	selenomethionine se 75
DB05457	1843u89
DB01048	abacavir
DB00106	abarelix
DB01281	abatacept
DB00054	abciximab
DB12100	abediterol
DB05812	abiraterone
DB00083	abobotulinumtoxina
DB04944	acadesine
DB00659	acamprosate
DB00284	acarbose
DB01193	acebutolol
DB13262	aceclidine
DB06736	aceclofenac
DB13783	acemetacin
DB01418	acenocoumarol
DB01614	acepromazine
DB01615	aceprometazine
DB00316	acetaminophen
DB00819	acetazolamide
DB00414	acetohexamide
DB01063	acetophenazine
DB04619	acetophenone
DB12618	acetovanillone
DB08842	acetylcarnitine
DB03128	acetylcholine
DB06151	acetylcysteine
DB00511	acetyldigitoxin
DB13691	acetyldigoxins
DB00787	aciclovir
DB07338	acifluorfen
DB09055	acipimox
DB00459	acitretin
DB11617	aclarubicin
DB08897	aclidinium
DB09488	acrivastine
DB12996	acteoside
DB00051	adalimumab
DB00210	adapalene
DB13868	adefovir
DB00173	adenine
DB00640	adenosine
DB00546	adinazolam
DB06579	adipiplon
DB08925	adrafinil
DB13394	adrenalone
DB08916	afatinib
DB04545	afegostat
DB04468	afimoxifene
DB01426	ajmaline
DB00160	alanine
DB05540	alanosine
DB13233	alaproclate
DB09335	alatrofloxacin
DB12073	albaconazole
DB00518	albendazole
DB09043	albiglutide
DB01001	albuterol
DB06766	alcaftadine
DB13167	alclofenac
DB00240	alclometasone
DB11205	alcloxa
DB13648	alcuronium
DB00041	aldesleukin
DB00092	alefacept
DB08915	aleglitazar
DB00087	alemtuzumab
DB00630	alendronate
DB12635	aleplasinin
DB00802	alfentanil
DB00346	alfuzosin
DB00088	alglucerase
DB06224	alicaforsen
DB05220	alisertib
DB09026	aliskiren
DB12139	alisporivir
DB00523	alitretinoin
DB01425	alizapride
DB11100	allantoin
DB11780	allicin
DB13577	allobarbital
DB15477	alloin
DB00437	allopurinol
DB04628	allosamidin
DB01431	allylestrenol
DB13314	alminoprofen
DB01430	almitrine
DB00918	almotriptan
DB13906	aloe
DB06203	alogliptin
DB00969	alosetron
DB06198	alovudine
DB13160	alphaprodine
DB11371	alphaxalone
DB00404	alprazolam
DB00866	alprenolol
DB00770	alprostadil
DB02020	alrestatin
DB09363	alseroxylon
DB00009	alteplase
DB11372	altrenogest
DB00488	altretamine
DB01616	alverine
DB06274	alvimopan
DB03496	alvocidib
DB00915	amantadine
DB01122	ambenonium
DB06742	ambroxol
DB13812	ambuphylline
DB00288	amcinonide
DB01163	amdinocillin
DB05395	amibegron
DB01143	amifostine
DB00479	amikacin
DB00594	amiloride
DB11561	aminacrine
DB04836	amineptin
DB00357	aminoglutethimide
DB00345	aminohippurate
DB01223	aminophylline
DB08878	aminopterin
DB01490	aminorex
DB01118	amiodarone
DB06288	amisulpride
DB05964	amitifadine
DB11373	amitraz
DB00321	amitriptyline
DB01025	amlexanox
DB00381	amlodipine
DB11118	ammonia
DB01351	amobarbital
DB00613	amodiaquin
DB05022	amonafide
DB09056	amorolfine
DB00543	amoxapine
DB01060	amoxicillin
DB08927	amperozide
DB08924	amphecloral
DB00182	amphetamine
DB11499	amphomycin
DB00415	ampicillin
DB00701	amprenavir
DB06263	amrubicin
DB00276	amsacrine
DB12742	amuvatinib
DB13908	amylmetacresol
DB06630	anacetrapib
DB00261	anagrelide
DB00026	anakinra
DB01217	anastrozole
DB09103	ancestim
DB05099	ancrod
DB05767	andrographolide
DB01524	androstenediol
DB01536	androstenedione
DB00362	anidulafungin
DB00913	anileridine
DB04599	aniracetam
DB01125	anisindione
DB11785	anisodamine
DB07374	anisomycin
DB00029	anistreplase
DB06420	annamycin
DB12294	anrukinzumab
DB05624	antarelix
DB08799	antazoline
DB11157	anthralin
DB15251	antipain
DB01435	antipyrine
DB01419	antrafenine
DB12326	antroquinonol
DB05009	apadenoson
DB12593	apaziquone
DB07402	apazone
DB07352	apigenin
DB06605	apixaban
DB00714	apomorphine
DB00964	apraclonidine
DB04626	apramycin
DB05676	apremilast
DB00673	aprepitant
DB12378	apricoxib
DB01429	aprindine
DB01352	aprobarbital
DB06692	aprotinin
DB08891	arbaclofen
DB01102	arbutamine
DB00407	ardeparin
DB04365	arecoline
DB01274	arformoterol
DB00278	argatroban
DB00125	arginine
DB11811	arhalofenate
DB01238	aripiprazole
DB09204	arotinolol
DB06697	artemether
DB13132	artemisinine
DB13851	artemotil
DB09274	artesunate
DB09009	articaine
DB00126	ascorbate
DB06216	asenapine
DB14081	asiaticoside
DB00023	asparaginase
DB00168	aspartame
DB06543	astaxanthin
DB00637	astemizole
DB11586	asunaprevir
DB06399	atacicept
DB05016	ataluren
DB12194	atamestane
DB01072	atazanavir
DB00335	atenolol
DB12264	atevirdine
DB11481	atipamezole
DB00289	atomoxetine
DB12046	atopaxar
DB01076	atorvastatin
DB09059	atosiban
DB01117	atovaquone
DB13295	atracurium
DB07392	atrazine
DB12758	atreleuton
DB00572	atropine
DB01574	attapulgite
DB00995	auranofin
DB04124	aurodox
DB09121	aurothioglucose
DB13763	aurotioprol
DB11893	avagacestat
DB06237	avanafil
DB06442	avasimibe
DB09060	avibactam
DB11375	avilamycin
DB09495	avobenzone
DB06626	axitinib
DB00928	azacitidine
DB01667	azaguanine
DB13350	azanidazole
DB11376	azaperone
DB00719	azatadine
DB00993	azathioprine
DB00972	azelastine
DB08795	azidocillin
DB04957	azimilide
DB00207	azithromycin
DB01061	azlocillin
DB08961	azosemide
DB07401	azoxystrobin
DB00355	aztreonam
DB01602	bacampicillin
DB00626	bacitracin
DB00181	baclofen
DB11851	bafetinib
DB12283	balapiravir
DB01014	balsalazide
DB11377	bambermycin
DB01408	bambuterol
DB13206	bamethan
DB13203	bamifylline
DB13489	bamipine
DB11715	bapineuzumab
DB00074	basiliximab
DB03880	batimastat
DB09005	batroxobin
DB12299	bavisant
DB05136	bavituximab
DB06401	bazedoxifene
DB00102	becaplermin
DB04891	becocalcidiol
DB08903	bedaquiline
DB09013	befunolol
DB12263	begacestat
DB06681	belatacept
DB05015	belinostat
DB12459	belotecan
DB13740	bemegride
DB09023	benactyzine
DB00542	benazepril
DB14125	benazeprilat
DB13488	bencyclane
DB06769	bendamustine
DB13501	bendazac
DB00436	bendroflumethiazide
DB09022	benfluorex
DB11748	benfotiamine
DB09231	benidipine
DB13657	benorilate
DB04812	benoxaprofen
DB00892	benoxinate
DB12867	benperidol
DB12023	benralizumab
DB12783	benserazide
DB14719	bentazepam
DB00522	bentiromide
DB11306	bentonite
DB00516	bentoquatam
DB03127	benzamidine
DB12319	benzbromarone
DB11125	benzethonium
DB02962	benzimidazole
DB13277	benziodarone
DB01086	benzocaine
DB12537	benzodiazepine
DB14020	benzoin
DB00868	benzonatate
DB11989	benzonidazole
DB01878	benzophenone
DB00865	benzphetamine
DB00767	benzquinamide
DB00562	benzthiazide
DB00245	benztropine
DB09084	benzydamine
DB04890	bepotastine
DB01244	bepridil
DB06761	beractant
DB05229	beraprost
DB04115	berberine
DB03995	betadex
DB06698	betahistine
DB06756	betaine
DB00443	betamethasone
DB00195	betaxolol
DB00272	betazole
DB01019	bethanechol
DB00217	bethanidine
DB12364	betrixaban
DB00112	bevacizumab
DB01295	bevantolol
DB06581	bevirimat
DB13542	bevonium
DB00307	bexarotene
DB01393	bezafibrate
DB01459	bezitramide
DB13028	biapenem
DB01128	bicalutamide
DB11562	bicuculline
DB13550	bifemelane
DB15056	bifenthrin
DB04888	bifeprunox
DB04794	bifonazole
DB13100	biguanides
DB00905	bimatoprost
DB12739	bindarit
DB13746	bioallethrin
DB03886	biopterin
DB00810	biperiden
DB09020	bisacodyl
DB00612	bisoprolol
DB04813	bithionol
DB00901	bitolterol
DB00006	bivalirudin
DB12352	bizelesin
DB00290	bleomycin
DB08873	boceprevir
DB01471	bolasterone
DB01541	boldenone
DB11724	bombesin
DB02982	bombykol
DB08807	bopindolol
DB13619	bornaprine
DB11288	borneol
DB11203	boron
DB00188	bortezomib
DB00559	bosentan
DB06616	bosutinib
DB04887	brecanavir
DB12617	bredinin
DB11653	bremelanotide
DB03523	brequinar
DB01158	bretylium
DB05459	briakinumab
DB00484	brimonidine
DB13199	brinolase
DB01194	brinzolamide
DB11958	brivanib
DB05541	brivaracetam
DB03312	brivudine
DB11776	brodalumab
DB13795	brodimoprim
DB13876	brofaromine
DB01558	bromazepam
DB13281	bromelains
DB00963	bromfenac
DB09019	bromhexine
DB13370	bromisovalum
DB01200	bromocriptine
DB12028	bromodeoxyuridine
DB01237	bromodiphenhydramine
DB03054	bromoform
DB09018	bromopride
DB12401	bromperidol
DB00835	brompheniramine
DB13960	bronopol
DB04168	bropirimine
DB09017	brotizolam
DB12160	bucillamine
DB12752	bucindolol
DB13242	bucladesine
DB00354	buclizine
DB01222	budesonide
DB05519	budiodarone
DB13502	budipine
DB13346	bufexamac
DB13510	buflomedil
DB04830	buformin
DB01445	bufotenin
DB06726	bufuralol
DB13286	bumadizone
DB00887	bumetanide
DB13652	bunaftine
DB11501	bunamidine
DB12230	bunazosin
DB00297	bupivacaine
DB08808	bupranolol
DB00921	buprenorphine
DB01156	bupropion
DB11378	buquinolate
DB06719	buserelin
DB00490	buspirone
DB01008	busulfan
DB00237	butabarbital
DB11502	butacaine
