Drug_id,Drug_name,Target_id,Target_name
10412116,"3-(1-((2-(3,5-Dimethoxyphenyl)-5-methyloxazol-4-yl)methyl)-1H-indol-5-yl)-2-ethoxypropanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10437965,"(2S)-2-[3-[1-(6-Chloro-1,2-benzoxazol-3-yl)-2-methyl-5-(trifluoromethoxy)indol-3-yl]oxyphenoxy]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10438226,"(2S)-2-[4-Chloro-3-[1-(6-chloro-1,2-benzoxazol-3-yl)-2-methyl-5-(trifluoromethoxy)indol-3-yl]oxyphenoxy]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10455511,"3-(1-((2-(3,5-Dimethylphenyl)-5-methyloxazol-4-yl)methyl)-1H-indol-5-yl)-2-ethoxypropanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
10931084,A17,Q9HCE7,SMURF1
11146868,A01,Q9HCE7,SMURF1
11149404,8-Mercapto-octanoic acid phenylamide,Q9UBN7,Histone deacetylase 6
11155087,3-[2-Ethyl-4-[(3R)-3-(4-ethyl-2-pyridin-2-ylphenoxy)butoxy]phenyl]propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
11178006,3-[4-[(3R)-3-(4-Ethyl-2-pyridin-2-ylphenoxy)butoxy]-2-methylphenyl]propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
11178156,"(S)-(3-Ethyl-2-oxo-5,7-dipropyl-2,3-dihydro-benzooxazol-6-yloxy)-(4-isopropyl-phenyl)-acetic acid",P37231,Peroxisome proliferator-activated receptor gamma
11178750,"(2S)-3-[4-[2-(2-Cyclohexyl-5-methyl-1,3-oxazol-4-yl)ethoxy]phenyl]-2-methyl-2-phenoxypropanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
11189474,"(2S)-2-[(3-Methyl-2-oxo-5,7-dipropyl-1,3-benzoxazol-6-yl)oxy]-2-(4-propan-2-ylphenyl)acetic acid",P37231,Peroxisome proliferator-activated receptor gamma
11223613,"(S)-(4-Isopropyl-phenyl)-(4-propionyl-2,6-dipropyl-phenoxy)-acetic acid",P37231,Peroxisome proliferator-activated receptor gamma
11243977,"(1R,4R,5S)-4-(2-Chloroethyl)-1-[(S)-cyclohexyl(hydroxy)methyl]-5-methyl-6-oxa-2-azabicyclo[3.2.0]heptane-3,7-dione",P28074,Proteasome subunit beta type-5
11247654,3-[4-[(3R)-3-(4-Chloro-2-pyridin-2-ylphenoxy)butoxy]-2-methylphenyl]propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
11247998,"(2S)-2-[(2-Oxo-3,5,7-tripropyl-1,3-benzoxazol-6-yl)oxy]-2-(4-propan-2-ylphenyl)acetic acid",P37231,Peroxisome proliferator-activated receptor gamma
11305717,3-{4-[3-(2-Benzoyl-4-ethyl-phenoxy)-butoxy]-2-methyl-phenyl}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
11316788,3-{4-[3-(2-Benzyl-4-ethyl-phenoxy)-butoxy]-2-methyl-phenyl}-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
11317867,"3-[5-[2-(5-Methyl-2-phenyl-1,3-oxazol-4-yl)ethoxy]-2-propoxycarbonyl-3,4-dihydro-1H-isoquinolin-8-yl]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
11339979,"(2S)-2-[(2-Oxo-3-propan-2-yl-5,7-dipropyl-1,3-benzoxazol-6-yl)oxy]-2-(4-propan-2-ylphenyl)acetic acid",P37231,Peroxisome proliferator-activated receptor gamma
11340513,2-{4-[3-(2-Benzoyl-4-ethyl-phenoxy)-butoxy]-phenoxy}-2-methyl-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
11374677,3-{4-[2-(2-Cyclohexyl-5-methyl-oxazol-4-yl)-ethoxy]-phenyl}-2-methyl-2-phenoxy-propionic acid,P37231,Peroxisome proliferator-activated receptor gamma
11379392,7-Mercapto-heptanoic acid phenylamide,Q9UBN7,Histone deacetylase 6
11409173,3-[2-Ethyl-4-[(3R)-3-[2-pyridin-2-yl-4-(trifluoromethyl)phenoxy]butoxy]phenyl]propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
11421714,"3-[5-[2-[5-Methyl-2-(4-phenylphenyl)-1,3-oxazol-4-yl]ethoxy]-2-propoxycarbonyl-3,4-dihydro-1H-isoquinolin-8-yl]propanoic acid",P37231,Peroxisome proliferator-activated receptor gamma
11431103,(R)-3-(4-(3-(2-Benzoyl-4-ethylphenoxy)butoxy)-2-methylphenyl)propanoic acid,P37231,Peroxisome proliferator-activated receptor gamma
11501591,Aim-100,Q07912,Activated CDC42 kinase 1
11503417,"(2S)-N-[(1S)-2-[(3Ar,7aS)-6-(2-phenylethyl)-3,3a,4,5,7,7a-hexahydro-2H-pyrrolo[2,3-c]pyridin-1-yl]-1-cyclohexyl-2-oxoethyl]-2-(methylamino)propanamide",Q13490,BIRC2
11519208,"3-Phenyl-2-[4-(2-piperidin-1-ylethoxy)phenyl]-N-(2-pyridin-3-ylethyl)furo[2,3-b]pyridin-4-amine",Q07912,Activated CDC42 kinase 1
11519350,"6-[3-Methoxy-4-(2-piperidin-1-ylethoxy)phenyl]-N-[[(2S)-oxolan-2-yl]methyl]-5-phenylfuro[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11540659,"5-Phenyl-N-(2-phenylethyl)-6-[4-(2-pyrrolidin-1-ylethoxy)phenyl]furo[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11542118,"Benzyl N-[(2S,3S)-1-[[(2S)-4-(2,2-dimethylpropylamino)-1-[[(2S)-1-[[(E,3S)-5-methyl-1-methylsulfonylhex-1-en-3-yl]amino]-1-oxopropan-2-yl]amino]-1,4-dioxobutan-2-yl]amino]-3-methyl-1-oxopentan-2-yl]carbamate",P28074,Proteasome subunit beta type-5
11546956,1-(4-Tert-butylphenyl)-3-[3-(trifluoromethyl)phenoxy]indole-2-carboxylic acid,P37231,Peroxisome proliferator-activated receptor gamma
11556651,"Tert-butyl (4S)-5-[[(2S)-1-[[(E,3S)-5-methyl-1-methylsulfonylhex-1-en-3-yl]amino]-1-oxopropan-2-yl]amino]-4-[[(2S,3S)-3-methyl-2-(phenylmethoxycarbonylamino)pentanoyl]amino]-5-oxopentanoate",P28074,Proteasome subunit beta type-5
11558827,1-(4-(Dimethylamino)phenyl)-3-(7-(hydroxyamino)-7-oxoheptyl)urea,Q9UBN7,Histone deacetylase 6
11613133,"2-[4-(2-Imidazol-1-ylethoxy)phenyl]-3-phenyl-N-(2-piperazin-1-ylethyl)furo[2,3-b]pyridin-4-amine",Q07912,Activated CDC42 kinase 1
11620266,"6-(4-(Morpholinomethyl)phenyl)-5-phenyl-N-(2-(piperazin-1-yl)ethyl)furo[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11626406,"N-Isopropyl-5-phenyl-6-(4-(2-(pyrrolidin-1-yl)ethoxy)phenyl)furo[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11626947,"6-(4-Methyl-2,3-dihydro-1,4-benzoxazin-7-yl)-5-phenyl-N-(2-piperazin-1-ylethyl)furo[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11634876,"[4-[5-Phenyl-4-(2-piperazin-1-ylethylamino)furo[2,3-d]pyrimidin-6-yl]phenyl]-piperidin-1-ylmethanone",Q07912,Activated CDC42 kinase 1
11648745,"6-(4-Morpholinophenyl)-5-phenyl-N-(2-(piperazin-1-yl)ethyl)furo[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11656437,"(4-Ethylpiperazin-1-yl)-[4-[4-[[(2S)-oxolan-2-yl]methylamino]-5-phenylfuro[2,3-d]pyrimidin-6-yl]phenyl]methanone",Q07912,Activated CDC42 kinase 1
11664499,(2S)-N'-Hydroxy-2-[[2-(5-methoxy-2-methyl-1H-indol-3-yl)acetyl]amino]-N-[2-(2-phenyl-1H-indol-3-yl)ethyl]octanediamide,Q9UBN7,Histone deacetylase 6
11666231,"(5Z)-5-(Quinolin-6-ylmethylidene)-2-sulfanylidene-1,3-thiazolidin-4-one",Q92630,DYRK2
11671614,"(2S)-N'-(2,2-Dimethylpropyl)-N-[(2S)-1-[[(E,3S)-5-methyl-1-methylsulfonylhex-1-en-3-yl]amino]-1-oxopropan-2-yl]-2-[(4-methylphenyl)sulfonylamino]butanediamide",P28074,Proteasome subunit beta type-5
11677453,"N-[[(2S)-Oxolan-2-yl]methyl]-5-phenyl-6-[4-(2-pyrrolidin-1-ylethoxy)phenyl]furo[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11684933,"5-Phenyl-N-(2-piperazin-1-ylethyl)-6-[4-(2-pyrrolidin-1-ylethoxy)phenyl]furo[2,3-d]pyrimidin-4-amine",Q07912,Activated CDC42 kinase 1
11844891,Tert-butyl N-[(2S)-1-(cyclopentylamino)-1-oxo-7-sulfanylheptan-2-yl]carbamate,Q9UBN7,Histone deacetylase 6
11844892,Tert-butyl N-[(2S)-1-(cyclohexylamino)-1-oxo-7-sulfanylheptan-2-yl]carbamate,Q9UBN7,Histone deacetylase 6
11844893,Tert-butyl N-[(2S)-1-(cycloheptylamino)-1-oxo-7-sulfanylheptan-2-yl]carbamate,Q9UBN7,Histone deacetylase 6
11947684,"(1R,4S,7Z,10S,16E,21R)-7-Ethylidene-4,21-di(propan-2-yl)-2-oxa-12,13-dithia-5,8,20,23-tetrazabicyclo[8.7.6]tricos-16-ene-3,6,9,19,22-pentone",Q9UBN7,Histone deacetylase 6
11995422,3-Cyano-N-(2-hydroxyethyl)-6-methoxy-4-phenylisoquinoline-1-carboxamide,P22460,Potassium voltage-gated channel subfamily A member 5
15951505,Lobeglitazone sulfate,P37231,Peroxisome proliferator-activated receptor gamma
15986418,(E)-N-Hydroxy-3-[4-(4-hydroxyphenyl)phenyl]prop-2-enamide,Q9UBN7,Histone deacetylase 6
15986509,(E)-N-Hydroxy-3-[4-(4-methoxyphenyl)phenyl]prop-2-enamide,Q9UBN7,Histone deacetylase 6
16036765,"N-[(2S)-1,8-Dioxo-1-[(4-phenyl-1,3-thiazol-2-yl)amino]nonan-2-yl]-1-methylpiperidine-2-carboxamide",Q9UBN7,Histone deacetylase 6
