C0000729	Abdominal cramps
C0004936	Mental disorder
C0006118	Brain neoplasm
C0013604	Oedema
C0015256	Excoriation
C0017638	Glioma
C0018799	Cardiac disorder
C0018979	Hemianopia
C0018989	Hemiparesis
C0019348	Herpes simplex
C0020429	Hyperpathia
C0020453	Hyperaesthesia
C0020580	Hypoaesthesia
C0023518	Leukocytosis
C0027651	Neoplasm
C0027765	Nervous system disorder
C0027769	Nervousness
C0233494	Tension
C0031256	Petechiae
C0035229	Respiratory insufficiency
C1145670	Respiratory failure
C0036508	Seborrhoeic dermatitis
C0037274	Skin disorder
C0038814	Sunburn
C0162830	Photosensitivity reaction
C0040034	Thrombocytopenia
C0040038	Thromboembolism
C0013922	Embolism
C0340726	Embolism venous
C0041582	Ulcer
C0041834	Erythema
C0085593	Chills
C0085641	Rash pustular
C0151505	Application site reaction
C0151662	Gamma-glutamyltransferase increased
C0151717	Skin hypertrophy
C0151904	Aspartate aminotransferase increased
C0151905	Alanine aminotransferase increased
C0151908	Dry skin
C0162285	Eyelid oedema
C0162834	Skin hyperpigmentation
C0162835	Leukoderma
C0178298	Unspecified disorder of skin and subcutaneous tissue
C0205204	Scab
C0221232	Welts
C0234215	Discomfort
C0234233	Tenderness
C0237849	Skin exfoliation
C0241157	Pustule
C0241166	Skin tightness
C0267792	Hepatobiliary disease
C0311468	Blood bilirubin increased
C0332534	Induration
C0349506	Photosensitivity
C0392197	Warmth
C2939147	Feeling hot
C0392699	Dysaesthesia
C0406834	Wound secretion
C0423791	Rash maculo-papular
C0521490	Application site irritation
C0677500	Stinging
C0699893	Skin carcinoma
C0007114	Skin cancer
C0702166	Acne
C0851341	Infestation NOS
C1384353	Infestation
C0852913	Blood amylase increased
C0151479	Amylase increased
C0857807	Accidental ingestion
C3544060	Accidental exposure to product
C0870082	Hyperkeratosis
C0920193	Photodermatosis
C1527311	Brain oedema
C1698818	Photodamaged skin
C0002170	Alopecia
C0015376	Extravasation
C0015672	Fatigue
C0023380	Lethargy
C0023530	Leukopenia
C0038362	Stomatitis
C0043144	Wheezing
C0231218	Malaise
C1443060	Feeling abnormal
C2047937	Ill-defined disorder
C0340865	Anaphylactoid reaction
C0700225	Serum creatinine increased
C0235431	Blood creatinine increased
C0746883	Febrile neutropenia
C1325847	Sensitisation
C2609414	Acute kidney injury
C0022660	Renal failure acute
C0039070	Syncope
C0041657	Loss of consciousness
C0036974	Shock
C0009676	Confusional state
C0151746	Kidney function abnormal
C1565489	Renal impairment
C0232492	Abdominal pain upper
C0232495	Abdominal pain lower
C0232498	Abdominal tenderness
C0242656	Disease progression
C0267537	Caecitis
C0424790	Rigors
C0442874	Neuropathy
C0031117	Neuropathy peripheral
C0000832	Premature separation of placenta
C0003862	Arthralgia
C0004096	Asthma
C0006266	Bronchospasm
C0011175	Dehydration
C0012739	Disseminated intravascular coagulation
C0013927	Amniotic fluid embolism
C1868769	Anaphylactoid syndrome of pregnancy
C0014179	Endometritis
C0015930	Foetal distress syndrome
C0016382	Flushing
C0018790	Cardiac arrest
C0018811	Foetal heart rate
C0019521	Hiccups
C0021053	Immune system disorder
C0021368	Inflammation
C0023067	Laryngitis
C0026821	Cramp muscle
C0027051	Myocardial infarction
C0948089	Acute coronary syndrome
C0032797	Postpartum haemorrhage
C0032961	Pregnancy
C0036973	Shivering
C0040822	Tremor
C0042143	Uterine rupture
C0042267	Vaginal inflammation
C0404521	Vaginal infection
C0042996	Vulvitis
C0079043	Bronchoconstriction
C0080274	Urinary retention
C0151315	Neck stiffness
C0948525	Musculoskeletal stiffness
C1320474	Nuchal rigidity
C0151604	Oedema genital
C0151827	Eye pain
C0151907	Skin discolouration
C0232292	Chest tightness
C0235710	Chest discomfort
C0236082	Vaginal pain
C0520588	Vulvovaginal pain
C0262397	Breast tenderness
C0269806	Failed induction of labour
C0269842	Uterine hypertonus
C0344232	Vision blurred
C0392618	Postoperative infection
C1868855	Post procedural infection
C0410916	Death neonatal
C0424535	Vasovagal symptoms
C0700200	Presyncope
C0558368	Vaginal irritation
C0520587	Vulvovaginal discomfort
C0595939	Stillbirth
C0600142	Hot flush
C0236075	Menopausal symptoms
C0700590	Sweating increased
C0020458	Hyperhidrosis
C1384666	Hearing impaired
C0011053	Deafness
C2004487	Vaginismus
C0003864	Arthritis
C0003962	Ascites
C0007642	Cellulitis
C0007859	Neck pain
C0009326	Collagen disorder
C0009782	Connective tissue disorder
C0010520	Cyanosis
C0013595	Eczema
C0014130	Endocrine disorder
C0014591	Epistaxis
C0016204	Flatulence
C0018801	Cardiac failure
C0018965	Haematuria
C0019123	Haemothorax
C0020532	Hypersplenism
C0020550	Hyperthyroidism
C0020651	Orthostatic hypotension
C0025061	Mediastinal disorder
C0026858	Musculoskeletal pain
C0030232	Pallor
C0030312	Pancytopenia
C0032227	Pleural effusion
C0032285	Pneumonia
C0032326	Pneumothorax
C0034063	Pulmonary oedema
C0034065	Pulmonary embolism
C0036690	Septicemia
C0243026	Sepsis
C0037299	Skin ulcer
C0038002	Splenomegaly
C0038990	Sweating
C0039971	Thirst
C0042401	Vasodilation
C1142412	Vasodilation procedure
C0043352	Dry mouth
C0085096	Peripheral vascular disorder
C0085605	Hepatic failure
C0085631	Agitation
C0086525	Lassitude
C0232487	Abdominal discomfort
C0232488	Abdominal colic
C0235527	Cardiac failure right
C2939447	Right ventricular failure
C0236000	Pain in jaw
C0242184	Hypoxia
C0267596	Rectal haemorrhage
C0270458	Psychotic depression
C1269683	Major depression
C0392025	Enlargement abdomen
C0000731	Abdominal distension
C0392171	Influenza-like symptoms
C0521839	Influenza like illness
C0392386	Platelet count decreased
C0424295	Hyperkinesia
C0428977	Bradycardia
C0521491	Application site pain
C0858797	Instillation site pain
C0860239	Catheter related infection
C1619702	Device related infection
C1141861	Procedural complication
C1285577	Acute confusional state
C2830004	Somnolence
C0002631	Amniotic cavity infection
C0015944	Premature rupture of membranes
C0410959	Foetal acidosis
C0001122	Acidosis
C0020488	Hypernatraemia
C0010037	Corneal oedema
C0010038	Corneal opacity
C0948284	Corneal decompensation
C0003578	Apnoea
C0004245	Atrioventricular block
C0013144	Drowsiness
C0020578	Hyperventilation
C0027424	Nasal congestion
C0028643	Numbness
C0278134	Sensory loss
C0033036	Supraventricular extrasystoles
C0036454	Scotoma
C0037188	Sinoatrial block
C2747891	Device capturing issue
C0038454	Cerebrovascular accident
C0039239	Sinus tachycardia
C0040264	Tinnitus
C0040479	Torsade de pointes
C0042510	Ventricular fibrillation
C0042514	Ventricular tachycardia
C0085606	Micturition urgency
C0042023	Pollakiuria
C0085612	Ventricular arrhythmia
C0085614	Atrioventricular block first degree
C0085624	Burning sensation
C0085633	Mood swings
C0233472	Affect lability
C0151517	Atrioventricular block complete
C0151636	Ventricular extrasystoles
C0151699	Haemorrhage intracranial
C0151740	Intracranial pressure increased
C0151744	Myocardial ischaemia
C0162297	Respiratory arrest
C0220870	Lightheadedness
C0232124	Skipped beats
C0340464	Extrasystoles
C0233485	Apprehension
C0235004	Head pressure
C0235169	Excitability
C0235706	Back distress
C0236071	Throat tightness
C0240327	Taste metallic
C0264906	Atrioventricular block second degree
C0438716	Chest pressure
C0494475	Tonic-clonic seizures
C0014549	Grand mal convulsion
C0497247	Blood pressure increased
C0520886	Electrocardiogram ST segment elevation
C0520887	Electrocardiogram ST segment depression
C0541782	Sinus arrest
C0750194	Non-sustained ventricular tachycardia
C0854303	Limb discomfort
C0857153	Nodal block
C0858924	General discomfort
C0948296	Ear discomfort
C1096250	Gastrointestinal discomfort
C1956346	Coronary artery disease
C2242996	Tingling sensation
C0000833	Abscess
C0007682	Central nervous system disorder
C0009421	Coma
C0018802	Cardiac failure congestive
C0019054	Haemolysis
C0020621	Hypokalaemia
C0022107	Irritability
C0027540	Necrosis
C0031542	Phlebitis
C0036104	Salivation
C0037036	Salivary hypersecretion
C0040046	Thrombophlebitis
C0042487	Venous thrombosis
C0423153	Lacrimation
C0152227	Lacrimation increased
C0542203	Water retention
C0268000	Fluid retention
C0002884	Hypochromic anaemia
C0003460	Anuria
C0004690	Balanitis
C0012691	Joint dislocation
C0013491	Ecchymosis
C0016059	Fibrosis
C0016658	Fracture
C0016655	Multiple fractures
C0018944	Haematoma
C0019294	Inguinal hernia
C0020433	Hyperbilirubinaemia
C0020440	Hypercapnia
C0860713	Carbon dioxide increased
C0020443	Hypercholesterolaemia
C0020452	Hyperaemia
C0020456	Hyperglycaemia
C0020557	Hypertriglyceridaemia
C0853692	Blood triglycerides increased
C0020564	Hypertrophy
C0020615	Hypoglycaemia
C0020672	Body temperature decreased
C0413252	Hypothermia
C0023222	Leg pain
C0030196	Pain in extremity
C0026961	Mydriasis
C0028259	Nodule
C0030794	Pelvic pain
C0030846	Penis disorder
C0030848	Peyronie's disease
C0031154	Peritonitis
C0031538	Tight foreskin
C0345326	Phimosis
C0032319	Pneumopericardium
C0033117	Priapism
C0033575	Prostatic disorder
C0033581	Prostatitis
C0036679	Separation
C1619718	Partner stress
C0037286	Neoplasm skin
C0037859	Spermatocele
C0038999	Swelling
C0039240	Supraventricular tachycardia
C0039242	Tachyphylaxis
C0039584	Testicular disorder
C0039591	Testicular pain
C0041912	Upper respiratory tract infection
C0041969	Urethral disorder
C0043246	Laceration
C0043251	Trauma
C0151605	Injection site swelling
C0151609	Scrotal oedema
C0151698	Injection site haemorrhage
C0151734	Injection site inflammation
C0156308	Penile oedema
C0178703	Hypertrophic osteoarthropathy
C0231451	Joint hyperextension
C0231835	Tachypnoea
C0231837	Respiratory rate decreased
C0233973	Painful erection
C0235063	Respiratory depression
C0855775	Pulmonary function test decreased
C0235129	Feeling strange
C0236083	Burning feeling vagina
C1963790	Vulvovaginal burning sensation
C0240717	Perineal pain
C0241558	Urethral haemorrhage
C0241863	Diabetic
C0011849	Diabetes mellitus
C0268919	Scrotal disorder
C0332575	Redness
C0340279	Ventricular hypertrophy
C0427008	Stiffness
C0476273	Respiratory distress
C0497481	Penile pain
C0518988	Tooth abscess
C0520962	Pain localised
C0521508	Injection site bruising
C0521845	Drug effect decreased
C0522061	Abdominal pain localised
C0542008	Injection site haematoma
C0549209	Feeling jittery
C0750466	Yeast infection
C0026946	Fungal infection
C0852908	Drug ineffective
C0852995	Injection site pruritus
C0853714	Application site pruritus
C0853813	Local reaction
C0863113	Hypotension symptomatic
C0877267	Peritonsillitis
C0877377	Skin tear
C0948873	Flu symptoms
C1504465	Device malfunction
C2004489	Regurgitation
C2242621	Erection prolonged
C0541941	Erection increased
C2937350	Abnormal ejaculation
C0235969	Ejaculation disorder
C2937358	Cerebral haemorrhage
C2938970	Penile curvature
C2938972	Penile haematoma
C3665386	Abnormal vision
C3665347	Visual impairment
C0005411	Atresia biliary
C0266241	Congenital absence of bile ducts
C0025958	Microcephaly
C0002895	Sickle cell anaemia
C0006114	Edema cerebral
C0008301	Choking
C0027429	Nasal obstruction
C0151799	Skin necrosis
C0221201	Rash macular
C0549433	Surgical intervention
C0543467	Surgery
C0750876	Phlebitis superficial
C1168149	Perioral tingling
C0521591	Paraesthesia oral
C0034212	Pyoderma
C1323189	Dermatitis infected
C0221244	Dandruff
C0234943	Application site anaesthesia
C0235266	Eye irritation
C0521495	Application site rash
C0701836	Thermal burn
C0877098	Application site dryness
C1142498	Application site excoriation
C1696574	Application site erosion
C0017675	Glossitis
C0019880	Homocystinuria
C0031212	Personality disorder
C0037317	Sleep disturbance
C0851578	Sleep disorder
C0040435	Tooth disorder
C0042024	Urinary incontinence
C0042075	Urinary tract disorder
C0162429	Malnutrition
C0235309	Upset stomach
C0268621	Hypermethioninaemia
C0541799	Bad taste
C0548823	Distress gastrointestinal
C0700198	Aspiration
C0006663	Calcinosis
C0011206	Delirium
C0085618	Venospasm
C0085616	Vasospasm
C0085628	Stupor
C0549249	Depressed level of consciousness
C0522171	Sense of oppression
C1328540	Peripheral vasodilatation
C0595862	Vasodilatation
C3267206	Chalky taste
C0001883	Airway obstruction NOS
C0600260	Obstructive airways disorder
C0006272	Obliterative bronchiolitis
C0021843	Intestinal obstruction
C0236124	Gastrointestinal obstruction
C0001824	Agranulocytosis
C0002874	Aplastic anaemia
C0014356	Enterocolitis
C0018939	Blood disorder
C0023418	Leukaemia
C0024790	Paroxysmal nocturnal haemoglobinuria
C0027813	Neuritis
C0041466	Typhoid fever
C0151773	Bone marrow depression
C0155169	Ocular hyperaemia
C0014236	Endophthalmitis
C0178416	Hypoplastic anaemia
C0221203	Rash vesicular
C0221477	Vasomotor collapse
C0259756	Jarisch-Herxheimer reaction
C0270276	Grey syndrome neonatal
C0270996	Eye swelling
C0425492	Respiration irregularity
C0035204	Respiratory disorder
C0542184	Reaction gastrointestinal
C0687133	Drug interaction
C0853040	Reaction to drug excipients
C1368107	Bone marrow aplastic
C1761613	Conjunctival hyperaemia
C0014869	Reflux esophagitis
C0017168	Gastrooesophageal reflux disease
C0022346	Jaundice
C0037284	Skin lesion
C0438717	Transaminases increased
C0859350	Serum transaminase increased
C0020598	Hypocalcaemia
C0085632	Apathy
C0233471	Flat affect
C0234518	Slurred speech
C0013362	Dysarthria
C0344375	Stomach cramps
C0429029	Electrocardiogram ST segment
C0429097	QRS complex
C0429098	Electrocardiogram QRS complex
C0728899	Intoxication
C0032343	Poisoning
C0860967	Calcium low
C3665624	Blood calcium decreased
C0948342	Citrate toxicity
C0948807	Hepatic impairment
C0023895	Liver disorder
C1504494	Tingling of extremity
C2129214	Loose stools
C2697368	Gastrointestinal tract irritation
C0017181	Gastrointestinal haemorrhage
C0020625	Hyponatraemia
C1112525	Gastrointestinal ulcer haemorrhage
C0013295	Duodenal ulcer
C0014742	Erythema multiforme
C0014868	Oesophagitis
C0018524	Hallucination
C0018834	Heartburn
C0019158	Hepatitis
C0038358	Gastric ulcer
C0232493	Epigastric pain
C0266813	Faecal occult blood positive
C0877047	Occult blood positive
C0520893	Localized exfoliation
C3665596	Warts
C0347390	Skin papilloma
C0001807	Aggression
C0013182	Drug hypersensitivity
C0029408	Osteoarthritis
C0030552	Paresis
C0033975	Psychotic disorder
C0151889	Hyperreflexia
C0233407	Disorientation
C0234535	Clonic convulsion
C0235031	Neurological symptom
C0002453	Amenorrhoea
C0002622	Amnesia
C0002957	Anger
C0004134	Ataxia
C0004601	Back injury
C0005586	Bipolar disorder
C0853193	Bipolar I disorder
C0006107	Concussion
C0006142	Breast cancer
C0006145	Breast disorder
C0006325	Bruxism
C0006444	Bursitis
C0007117	Basal cell carcinoma
C0007286	Carpal tunnel syndrome
C0008033	Pleuritic pain
C0008035	Chest wall pain
C0476280	Musculoskeletal chest pain
C0009319	Colitis
C0009763	Conjunctivitis
C0009938	Contusion
C0010692	Cystitis
C0403632	Cystitis noninfective
C0232849	Bladder pain
C0010709	Cyst
C0011124	Libido decreased
C0855242	Disturbance in sexual arousal
C0011168	Dysphagia
C0011253	Delusion
C0011334	Dental caries
C0011551	Depersonalisation
C0011606	Dermatitis exfoliative
C0011615	Dermatitis atopic
C0012569	Diplopia
C0013146	Drug abuse
C0013384	Dyskinesia
C0013390	Dysmenorrhoea
C0013428	Dysuria
C0013456	Ear pain
C0014394	Enuresis
C0014488	Epicondylitis
C0014724	Eructation
C0015371	Extrapyramidal disorder
C0016199	Flank pain
C0016242	Vitreous floaters
C0016385	Cardiac flutter
C0016397	Localised infection
C0016436	Folliculitis
C0016470	Food allergy
C0016479	Food poisoning
C0016722	Frigidity
C0015786	Female sexual arousal disorder
C0017160	Gastroenteritis
C0017565	Gingival bleeding
C0017574	Gingivitis
C0017605	Angle closure glaucoma
C0017979	Glycosuria
C0018418	Gynaecomastia
C0018520	Breath odour
C0018621	Seasonal allergy
C1322281	Rhinitis seasonal
C0019196	Hepatitis C
C0019360	Herpes zoster
C0019372	Herpes virus infection
C0019572	Hirsutism
C0019917	Hordeolum
C0020039	Hostility
C0020175	Hunger
C0020522	Type IV hypersensitivity reaction
C0020565	Hypertrophy of breast
C2225524	Breast enlargement
C0020678	Hypotrichosis
C0021141	Inappropriate antidiuretic hormone secretion
C0021177	Libido increased
C0021845	Intestinal perforation
C0022575	Keratoconjunctivitis sicca
C0314719	Dry eye
C0025320	Menopause
C0025345	Menstrual disorder
C0025874	Metrorrhagia
C0026603	Motion sickness
C0026827	Hypotonia
C1142135	Muscle relaxant therapy
C0026837	Muscle rigidity
C0026857	Musculoskeletal disorder
C0027066	Myoclonus
C0027441	Nasopharyngitis
C0027796	Neuralgia
C0028081	Night sweats
C0028084	Nightmare
C0028734	Nocturia
C0029261	Orgasm abnormal
C0029456	Osteoporosis
C0029927	Ovarian cyst
C0029928	Ovarian disorder
C0030305	Pancreatitis
C0030318	Panic reaction
C0030469	Sinus disorder
C0030790	Pelvic infection
C0032584	Polyp
C0032617	Polyuria
C1167965	Urine output increased
C0033046	Premenstrual syndrome
C0033771	Prurigo
C0033893	Tension headache
C0034880	Hyperacusis
C0035243	Respiratory tract infection
C0035410	Rhabdomyolysis
C0036130	Salpingitis
C0036396	Sciatica
C0036502	Sebaceous gland disorder
C0036689	Pharyngitis streptococcal
C0036830	Serum sickness
C0037195	Sinus headache
C0037383	Sneezing
C0037384	Snoring
C0037578	Soft tissue injury
C0037672	Somnambulism
C0038325	Stevens-Johnson syndrome
C0038661	Suicide
C0852733	Completed suicide
C0038663	Suicide attempt
C0039503	Tendonitis
C0040259	Tinea pedis
C0040425	Tonsillitis
C0040460	Toothache
C0040953	Trichotillomania
C0042035	Micturition disorder
C0043241	Wound infection
C0043387	Yawning
C0080194	Muscle strain
C0085166	Vaginitis bacterial
C0085623	Akinesia
C0085636	Photophobia
C0086132	Depressive symptom
C0086439	Hypokinesia
C0086565	Hepatic function abnormal
C0086769	Panic attack
C0087169	Withdrawal symptom
C0152128	Drug withdrawal syndrome
C0149745	Mouth ulceration
C0149931	Migraine
C0151602	Swelling face
C0151610	Tongue oedema
C0040409	Tongue disorder
C0151611	Electroencephalogram abnormal
C0151692	Impaired healing
C0151713	Hyperchlorhydria
C1168034	Gastric pH decreased
C0151763	Hepatocellular injury
C0160390	Liver injury
C0151772	Manic psychosis
C0338831	Mania
C0151830	Urethral pain
C0151836	Paranoid reaction
C1456784	Paranoia
C0151936	Tendon disorder
C0151966	Duodenal ulcer haemorrhage
C0152027	Sensory disturbance
C0152029	Sinus congestion
C0152030	Skin irritation
C0152031	Joint swelling
C0152517	Viral diarrhoea
C0156404	Menstruation irregular
C0159321	Facial bones fracture
C0162298	Joint stiffness
C0221776	Oral pain
C0231530	Muscle twitching
C0231919	Nasal dryness
C0232431	Cold sweat
C0232459	Digestion impaired
C0232461	Increased appetite
C0233414	Disturbance in attention
C0233477	Dysphoria
C0233488	Feeling of despair
C0233565	Bradykinesia
C0233632	Thinking abnormal
C1306341	Mental disability
C0233651	Perseveration
C0233754	Derealisation
C0233762	Hallucination, auditory
C0233794	Memory impairment
C0234458	Abnormal dreams
C0234708	Intraocular pressure increased
C0234913	Rash erythematous
C0235086	Muscle contractions involuntary
C0235146	Euphoric mood
C0235162	Difficulty sleeping
C1262141	Poor quality sleep
C0235198	Cerebration impaired
C0235378	Hepatotoxicity
C0235857	Lacrimation decreased
C0235996	Hepatic enzyme increased
C0236068	Swollen tongue
C0237314	Heart rate irregular
C0238707	Impairment of attention
C0239062	Circumoral oedema
C0239729	Genital rash
C0239739	Gingival pain
C0239978	Frequent bowel movements
C0240515	Nipple pain
C0240811	Prostate infection
C0241060	Dermal cyst
C0241934	Hypomania
C0242073	Pulmonary congestion
C0948349	Respiratory tract congestion
C0242350	Erectile dysfunction
C0242422	Parkinsonism
C0260662	Auditory disorder NOS
C0264309	Vocal cord disorder
C0272426	Mouth injury
C0273482	Nerve compression
C0161479	Nerve injury
C0277925	Peripheral coldness
C0278107	Painful ejaculation
C0339916	Viral upper respiratory tract infection
C0344315	Depressed mood
C0392156	Akathisia
C0392176	Gastric irritation
C1291078	Epigastric discomfort
C0392703	Shakiness
C0393760	Initial insomnia
C0393761	Middle insomnia
C0409497	Joint injury
C0423798	Increased tendency to bruise
C0424000	Suicidal ideation
C0425481	Respiratory sighs
C1260922	Respiration abnormal
C0426636	Defaecation urgency
C0434437	Joint sprain
C0435002	Ligament sprain
C0435630	Wrist fracture
C0455769	Energy increased
C0474378	Hair colour changes
C0475858	Pruritus generalised
C0476254	Dyslexia
C0497156	Lymphadenopathy
C0497209	Conjunctivitis infective
C0520594	Breast microcalcification
C0587094	Breast calcifications
C0520966	Coordination abnormal
C0521592	Hypoaesthesia oral
C0521991	Stress symptoms
C0038435	Stress
C0522178	Self-injurious ideation
C0522251	Sinus pain
C0541798	Terminal insomnia
C0542165	Pseudoparkinsonism
C0542571	Face oedema
C0547030	Visual disturbance
C0150450	Altered state of consciousness
C0549310	Vaginal mycosis
C1609512	Vulvovaginal mycotic infection
C0549622	Sexual dysfunction
C0555724	Lip dry
C0558401	Skin laceration
C0558489	Renal pain
C0563238	Gastritis viral
C0574067	Cough increased
C0577628	Latex allergy
C0856604	Rubber sensitivity
C0578687	Sore eye
C0581912	Sensation of heaviness
C0686347	Tardive dyskinesia
C0699744	Ear infection
C0700184	Throat irritation
C0743668	Limb injury
C0852919	Animal scratch
C0853348	Arthropod bite
C0855235	Feelings of worthlessness
C0855237	Social avoidant behaviour
C0858635	Pharyngolaryngeal pain
C0549373	Laryngeal pain
C0877046	Tooth infection
C0877179	Injection site joint pain
C0877303	Post procedural pain
C1619712	Procedural pain
C0877322	Muscle tightness
C0877508	Irritation gum
C0878773	Hypertonic bladder
C0917799	Hypersomnia
C1112537	Neurological examination abnormal
C1167677	Infrequent bowel movements
C1260880	Rhinorrhoea
C1328308	Increased upper airway secretion
C1384606	Dyspareunia
C1510410	Parosmia
C1542178	Lower limb fracture
C1579838	Sore mouth
C1971624	Appetite absent
C2584688	Testicular swelling
C2979982	Vaginal haemorrhage
C0000768	Congenital anomaly
C0424605	Developmental delay
C0004623	Bacterial infection
C0005741	Blepharitis
C0005778	Clotting
C0005779	Coagulopathy
C0005940	Bone disorder
C0006152	Breast swelling
C0006826	Neoplasm malignant
C0006840	Candida infection
C0006852	Vaginal moniliasis
C0700345	Vulvovaginal candidiasis
C0007787	Transient ischaemic attack
C0007820	Cerebrovascular disorder
C0007855	Cervical polyp
C0007869	Uterine cervical erosion
C0008325	Cholecystitis
C0008350	Cholelithiasis
C0008489	Chorea
C0009443	Common cold
C0010072	Coronary artery thrombosis
C0011616	Dermatitis contact
C0012813	Diverticulitis
C0013447	Ear disorder
C0013985	Emotional disturbance NOS
C0233459	Emotional disorder
C0014173	Endometrial hyperplasia
C0014175	Endometriosis
C0014544	Epilepsy
C0014743	Erythema nodosum
C0015403	Eye infection
C0015929	Foetal disorder
C0016034	Fibrocystic breast disease
C0016977	Gallbladder disorder
C0018021	Goitre
C0018916	Haemangioma
C0019079	Haemoptysis
C0019112	Haemorrhoids
C0019243	Hereditary angioedema
C0021167	Incontinence
C0022354	Jaundice cholestatic
C0022408	Arthropathy
C0023533	Leukorrhea
C0227791	Vaginal discharge
C0023903	Hepatic neoplasm
C0024103	Breast mass
C0024902	Breast pain
C0025218	Chloasma
C0025286	Meningioma
C0025323	Menorrhagia
C0027339	Nail disorder
C0029134	Optic neuritis
C0029882	Otitis media
C0032708	Porphyrin metabolism disorder
C0033775	Anal pruritus
C0033777	Pruritus genital
C2242737	Anorectal discomfort
C0034150	Purpura
C1368065	Vascular purpura
C0035328	Retinal vein occlusion
C0037290	Pigmentation skin
C0549567	Pigmentation disorder
C0040053	Thrombosis
C0042133	Uterine leiomyoma
C0042134	Uterine haemorrhage
C0042251	Vaginal disorder
C0042256	Vaginal itching
C1112214	Vulvovaginal pruritus
C0042345	Varicose vein
C0042769	Viral infection
C0042790	Disorder sight
C0042994	Vulval disorder
C0042998	Vulvovaginitis
C0085688	Breast engorgement
C0149741	Breast discharge
C0149871	Deep vein thrombosis
C0151622	Endometrial disorder
C0151671	Glucose tolerance decreased
C0151766	Liver function test abnormal
C0151825	Bone pain
C0151849	Phosphatase alkaline increased
C0852911	Blood alkaline phosphatase increased
C0151994	Uterine enlargement
C0152010	Withdrawal bleed
C0153567	Uterine cancer
C0154002	Benign vaginal neoplasm
C0162566	Porphyria cutanea tarda
C0853026	Porphyria non-acute
C0162820	Allergic contact dermatitis
C0178829	Reproductive tract disorder
C0221717	Contact lens intolerance
C0234238	Ache
C0235234	Dry throat
C0235511	Superficial phlebothrombosis
C1510431	Thrombophlebitis superficial
C0235524	Vein pain
C0858765	Vascular pain
C0235649	Breast oedema
C0235660	Galactorrhoea
C0235680	Vaginitis ulcerative
C0566951	Vaginal ulceration
C0235886	Leg edema
C0235889	Arthritis aggravated
C0235890	Migraine aggravated
C0235955	Dermatitis hemorrhagic
C0236080	Vaginal discomfort
C0239521	Facial rash
C0241164	Skin tenderness
C0241136	Pain of skin
C0241729	Weight fluctuation
C0265057	Superficial thrombophlebitis of leg
C0266008	Breast malformation
C0267797	Hepatitis acute
C0269189	Ectropion of cervix
C0271650	Glucose tolerance impaired
C0302295	Eruption
C0332563	Papule
C0334492	Malignant mesenchymoma
C0343863	Genital candidiasis
C0349790	Exacerbation of asthma
C0392684	Pulse irregular
C0427085	Jerky movement NOS
C0456909	Blindness
C0476089	Endometrial cancer
C0497327	Dementia
C0497365	Rash generalised
C0521987	Pre-existing disease
C0541820	Carbohydrate tolerance decreased
C0542223	Speech loss
C0542243	Toxic reaction (NOS)
C3160741	Toxicity to various agents
C0549288	Pelvic venous thrombosis
C0553713	Breast pain female
C0553737	Cervical discharge
C0554976	Bradyphrenia
C0567085	Uterine pain
C0575081	Gait disturbance
C0577559	Mass
C0577730	Family stress
C0600041	Bladder infection
C0600327	Toxic shock syndrome
C0849916	Generalised erythema
